Item_Identifier,Item_Identifier_group,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Visibility_avg,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Years of Operation,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDU03,Food,18.7,Regular,0.091560606,1.388275157,Meat,182.3292,OUT035,2004,9,Small,Tier 2,Supermarket Type1,3831.0132
FDQ32,Food,12.79,Regular,0.081605462,1.237331648,Fruits and Vegetables,122.3388,OUT019,1985,28,Small,Tier 1,Grocery Store,371.5164
FDI38,Food,13.35,Regular,0.014626901,0.221778384,Canned,207.7638,OUT046,1997,16,Small,Tier 1,Supermarket Type1,3520.0846
FDE36,Food,5.26,Regular,0.041837331,0.634352805,Baking Goods,161.8868,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,5077.3908
FDY02,Food,8.945,Regular,0.088002959,1.334332821,Dairy,261.391,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,1840.937
NCA17,Non-Consumable,20.6,Non-Edible,0.04551031,0.690043847,Health and Hygiene,149.6392,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,894.8352
DRJ25,Drinks,14.6,Low Fat,0.150801606,2.286508711,Soft Drinks,48.7692,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1231.73
FDI26,Food,5.94,Low Fat,0.03495749,0.530038158,Canned,177.1344,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,2854.9504
FDT50,Food,6.75,Regular,0.108458498,1.644487132,Dairy,96.9752,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,958.752
FDR02,Food,16.7,Low Fat,0.022155562,0.335930676,Dairy,109.5886,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,1000.6974
NCY05,Non-Consumable,13.5,Non-Edible,0.055301055,0.838494678,Health and Hygiene,34.6874,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,317.5866
FDI50,Food,8.42,Regular,0.030816999,0.46725853,Canned,230.8352,OUT013,1987,26,High,Tier 3,Supermarket Type1,3435.528
FDW56,Food,7.68,Low Fat,0.0711891,1.079394985,Fruits and Vegetables,193.3162,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,5772.486
FDS32,Food,17.75,Regular,0.029821648,0.452166656,Fruits and Vegetables,139.9838,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,1123.8704
FDT48,Food,4.92,Low Fat,0.046142232,0.699625277,Baking Goods,199.1084,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,4761.8016
FDU57,Food,8.27,Regular,0.089735804,1.360606846,Snack Foods,148.7708,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,2708.4744
FDL51,Food,20.7,Regular,0.04745185,0.719482181,Dairy,214.6876,OUT013,1987,26,High,Tier 3,Supermarket Type1,3001.4264
FDO52,Food,11.6,Regular,0.077150004,1.169776376,Frozen Foods,170.2106,OUT035,2004,9,Small,Tier 2,Supermarket Type1,1882.2166
FDS57,Food,12.79,Low Fat,0.181114059,2.746117131,Snack Foods,141.647,OUT019,1985,28,Small,Tier 1,Grocery Store,429.441
FDR22,Food,19.35,Regular,0.018562604,0.281452943,Snack Foods,110.5544,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1565.9616
FDB57,Food,20.25,Regular,0.018789455,0.28489254,Fruits and Vegetables,222.0772,OUT013,1987,26,High,Tier 3,Supermarket Type1,3113.2808
FDA04,Food,11.3,Regular,0.066674465,1.01094245,Frozen Foods,259.1962,OUT013,1987,26,High,Tier 3,Supermarket Type1,5179.924
FDM09,Food,11.15,Regular,0.143831787,2.180829785,Snack Foods,169.979,OUT010,1998,15,Medium,Tier 3,Grocery Store,169.779
NCQ38,Non-Consumable,12.79,Non-Edible,0.023402893,0.354843162,Others,108.228,OUT019,1985,28,Small,Tier 1,Grocery Store,213.056
FDP52,Food,18.7,Regular,0.070979698,1.076219956,Frozen Foods,229.501,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,1607.907
DRK11,Drinks,12.79,Low Fat,0.018847114,0.285766786,Hard Drinks,148.0392,OUT019,1985,28,Small,Tier 1,Grocery Store,447.4176
FDN40,Food,5.88,Low Fat,0.086945823,1.318304141,Frozen Foods,152.9998,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,3691.1952
FDV58,Food,20.85,Low Fat,0.121438886,1.841300488,Snack Foods,196.1452,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1565.9616
DRA59,Drinks,8.27,Regular,0.06595278,1,Soft Drinks,183.2924,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,2406.2012
FDE23,Food,17.6,Regular,0.053288857,0.807985001,Starchy Foods,47.306,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,605.878
FDI08,Food,18.2,Regular,0.066431507,1.007258633,Fruits and Vegetables,250.1092,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,4233.1564
FDE09,Food,12.79,Low Fat,0.037824735,0.573512367,Fruits and Vegetables,109.7228,OUT019,1985,28,Small,Tier 1,Grocery Store,331.5684
FDG09,Food,20.6,Regular,0.047936284,0.726827345,Fruits and Vegetables,185.7556,OUT046,1997,16,Small,Tier 1,Supermarket Type1,3942.8676
FDS57,Food,15.5,Low Fat,0.103356186,1.567124024,Snack Foods,142.847,OUT013,1987,26,High,Tier 3,Supermarket Type1,1574.617
FDW15,Food,15.35,Regular,0.055067732,0.83495695,Meat,146.5734,OUT013,1987,26,High,Tier 3,Supermarket Type1,2375.5744
FDH56,Food,9.8,Regular,0.063916425,0.969124046,Fruits and Vegetables,117.1492,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,2780.3808
FDM36,Food,11.65,Regular,0.059063036,0.8955352,Baking Goods,172.0422,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,1379.5376
NCQ38,Non-Consumable,16.35,Non-Edible,0.013442036,0.203813031,Others,104.528,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,1065.28
DRE48,Drinks,12.79,Low Fat,0.01724183,0.261426888,Soft Drinks,197.0768,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,8868.456
FDP33,Food,18.7,Low Fat,0.089777214,1.36123472,Snack Foods,256.4672,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,5369.0112
FDI33,Food,16.5,Low Fat,0.028418817,0.430896423,Snack Foods,92.8146,OUT046,1997,16,Small,Tier 1,Supermarket Type1,2097.9358
FDO16,Food,5.48,Low Fat,0.015108194,0.229075924,Frozen Foods,83.725,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1165.15
FDW34,Food,9.6,Low Fat,0.035780385,0.54251519,Snack Foods,241.317,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,3645.255
FDM22,Food,12.79,Regular,0.073462632,1.113867103,Snack Foods,52.364,OUT019,1985,28,Small,Tier 1,Grocery Store,53.264
NCO07,Non-Consumable,9.06,Non-Edible,0.009816092,0.148835151,Others,211.856,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,3621.952
FDC44,Food,15.6,Low Fat,0.172946916,2.622283943,Fruits and Vegetables,114.1518,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,1821.6288
DRB48,Drinks,16.75,Regular,0.024892129,0.377423499,Soft Drinks,37.8822,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,589.233
NCV29,Non-Consumable,11.8,Non-Edible,0.022824491,0.346073221,Health and Hygiene,177.0686,OUT013,1987,26,High,Tier 3,Supermarket Type1,3022.0662
FDE28,Food,9.5,Regular,0.06595278,1,Frozen Foods,231.3668,OUT013,1987,26,High,Tier 3,Supermarket Type1,5759.17
FDP49,Food,9,Regular,0.069229076,1.04967639,Breakfast,55.9614,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,386.8298
FDX59,Food,10.195,Low Fat,0.051766042,0.784895527,Breads,34.5558,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,441.4254
FDN60,Food,15.1,Low Fat,0.095140088,1.442548563,Baking Goods,159.9604,OUT035,2004,9,Small,Tier 2,Supermarket Type1,2852.2872
DRC36,Drinks,13,Regular,0.044976367,0.681948009,Soft Drinks,176.2054,OUT035,2004,9,Small,Tier 2,Supermarket Type1,1225.7378
FDE02,Food,12.79,Low Fat,0.212293753,3.218874974,Canned,92.2778,OUT019,1985,28,Small,Tier 1,Grocery Store,469.389
NCU29,Non-Consumable,12.79,Non-Edible,0.025354072,0.384427647,Health and Hygiene,144.476,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,3661.9
NCQ17,Non-Consumable,10.3,Non-Edible,0.195721125,2.96759477,Health and Hygiene,156.463,OUT010,1998,15,Medium,Tier 3,Grocery Store,312.926
DRD12,Drinks,6.96,Low Fat,0.077508015,1.175204669,Soft Drinks,92.3146,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,1094.5752
FDV45,Food,16.75,Low Fat,0.045009952,0.682457237,Snack Foods,186.8556,OUT013,1987,26,High,Tier 3,Supermarket Type1,2440.8228
FDZ02,Food,12.79,Regular,0.037962696,0.575604182,Dairy,97.5726,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,978.726
FDW26,Food,12.79,Regular,0.187443314,2.842083594,Dairy,220.4772,OUT019,1985,28,Small,Tier 1,Grocery Store,444.7544
FDN40,Food,5.88,Low Fat,0.086384841,1.309798328,Frozen Foods,153.2998,OUT013,1987,26,High,Tier 3,Supermarket Type1,2153.1972
FDR19,Food,12.79,Regular,0.158947217,2.410015423,Fruits and Vegetables,145.5102,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,5978.2182
FDD50,Food,18.85,Low Fat,0.141615436,2.147224666,Canned,169.0132,OUT035,2004,9,Small,Tier 2,Supermarket Type1,1860.2452
NCD18,Non-Consumable,16,Non-Edible,0.06595278,1,Household,228.8668,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1612.5676
FDA34,Food,11.5,Low Fat,0.01484819,0.225133649,Starchy Foods,172.108,OUT013,1987,26,High,Tier 3,Supermarket Type1,2077.296
FDR33,Food,7.31,Low Fat,0.026843265,0.407007332,Snack Foods,109.757,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,1208.427
FDD39,Food,16.7,Low Fat,0.070154899,1.063714054,Dairy,218.185,OUT046,1997,16,Small,Tier 1,Supermarket Type1,5193.24
FDR13,Food,9.895,Regular,0.028765486,0.436152744,Canned,115.3492,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1274.3412
FDA39,Food,12.79,Low Fat,0.012656359,0.191900311,Meat,37.8822,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,1021.3372
FDN01,Food,8.895,Low Fat,0.06595278,1,Breakfast,178.437,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1235.059
FDU04,Food,7.93,Low Fat,0.005547386,0.084111481,Frozen Foods,121.5414,OUT035,2004,9,Small,Tier 2,Supermarket Type1,1340.2554
FDV10,Food,7.645,Regular,0.06595278,1,Snack Foods,41.7112,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,852.224
NCB30,Non-Consumable,14.6,Non-Edible,0.02575512,0.390508482,Household,199.6084,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,3769.7596
FDB38,Food,12.79,Regular,0.027214272,0.412632674,Canned,159.692,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,3515.424
FDB22,Food,8.02,Low Fat,0.111666665,1.693130525,Snack Foods,155.2998,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,1230.3984
NCS30,Non-Consumable,5.945,Non-Edible,0.093026207,1.410497131,Household,128.7652,OUT046,1997,16,Small,Tier 1,Supermarket Type1,516.6608
FDK14,Food,6.98,Low Fat,0.041189152,0.62452488,Canned,82.8934,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,818.934
DRJ35,Drinks,10.1,Low Fat,0.046584552,0.706331894,Hard Drinks,61.2878,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1272.3438
FDX19,Food,19.1,Low Fat,0.097280981,1.47500956,Fruits and Vegetables,232.6958,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,5375.0034
FDX60,Food,14.35,Low Fat,0.080922439,1.226975406,Baking Goods,80.096,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,1278.336
FDS01,Food,11.6,Low Fat,0.017780986,0.269601767,Canned,177.3686,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,1777.686
NCT41,Non-Consumable,15.7,Non-Edible,0.055979703,0.848784585,Health and Hygiene,151.9024,OUT035,2004,9,Small,Tier 2,Supermarket Type1,1062.6168
DRE27,Drinks,11.85,Low Fat,0.132645493,2.011219133,Dairy,96.9726,OUT035,2004,9,Small,Tier 2,Supermarket Type1,1174.4712
FDY45,Food,17.5,Low Fat,0.026182758,0.396992485,Snack Foods,253.6356,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,5086.712
FDB56,Food,12.79,Regular,0.06595278,1,Fruits and Vegetables,188.2556,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,4693.89
FDS36,Food,8.38,Regular,0.04688734,0.710922875,Baking Goods,107.957,OUT046,1997,16,Small,Tier 1,Supermarket Type1,2966.139
FDF59,Food,12.5,Low Fat,0.071354774,1.081906995,Starchy Foods,125.702,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,2530.04
FDD11,Food,12.85,Low Fat,0.06595278,1,Starchy Foods,254.704,OUT035,2004,9,Small,Tier 2,Supermarket Type1,2530.04
FDY40,Food,15.5,Regular,0.086320509,1.308822903,Frozen Foods,48.1692,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,985.384
FDA13,Food,12.79,Low Fat,0.137539574,2.085424966,Canned,38.8506,OUT019,1985,28,Small,Tier 1,Grocery Store,37.9506
NCX42,Non-Consumable,12.79,Non-Edible,0.010467749,0.158715812,Household,162.9526,OUT019,1985,28,Small,Tier 1,Grocery Store,822.263
FDJ46,Food,11.1,Low Fat,0.044814962,0.679500728,Snack Foods,174.4054,OUT035,2004,9,Small,Tier 2,Supermarket Type1,4027.4242
FDH05,Food,14.35,Regular,0.090913642,1.378465654,Frozen Foods,231.2984,OUT046,1997,16,Small,Tier 1,Supermarket Type1,3243.7776
NCP50,Non-Consumable,17.35,Non-Edible,0.020559846,0.311735851,Others,78.7618,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1288.9888
FDF28,Food,12.79,Regular,0.037681359,0.571338449,Frozen Foods,125.1046,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,3859.6426
FDN60,Food,15.1,Low Fat,0.095545715,1.448698827,Baking Goods,157.3604,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,4436.8912
FDD29,Food,12.15,Low Fat,0.018395194,0.278914611,Frozen Foods,251.6698,OUT013,1987,26,High,Tier 3,Supermarket Type1,6088.0752
FDG58,Food,10.695,Regular,0.087272074,1.323250877,Snack Foods,153.7972,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,2025.3636
FDV15,Food,12.79,Low Fat,0.145464606,2.205587179,Meat,105.7648,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,2596.62
FDV04,Food,7.825,Regular,0.149890395,2.272692599,Frozen Foods,159.0288,OUT013,1987,26,High,Tier 3,Supermarket Type1,1257.0304
DRJ23,Drinks,18.35,Low Fat,0.041634206,0.63127295,Hard Drinks,188.1872,OUT013,1987,26,High,Tier 3,Supermarket Type1,3781.744
FDA11,Food,12.79,low fat,0.043029436,0.652427934,Baking Goods,94.7436,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,1701.7848
FDX16,Food,17.85,Low Fat,0.06594351,0.999859445,Frozen Foods,149.105,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,4643.955
NCA41,Non-Consumable,16.75,Non-Edible,0.032637373,0.494859701,Health and Hygiene,191.6162,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,3463.4916
FDP36,Food,10.395,Regular,0.091096531,1.381238683,Baking Goods,52.3008,OUT013,1987,26,High,Tier 3,Supermarket Type1,2226.4352
FDK16,Food,9.065,Low Fat,0.115307979,1.74834145,Frozen Foods,97.0094,OUT035,2004,9,Small,Tier 2,Supermarket Type1,856.8846
FDD34,Food,7.945,Low Fat,0.015873285,0.240676511,Snack Foods,161.321,OUT035,2004,9,Small,Tier 2,Supermarket Type1,2773.057
FDI56,Food,7.325,Low Fat,0.156307983,2.369998399,Fruits and Vegetables,92.2146,OUT010,1998,15,Medium,Tier 3,Grocery Store,91.2146
NCO18,Non-Consumable,13.15,Non-Edible,0.024790707,0.375885702,Household,177.5686,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,3910.9092
FDB46,Food,10.5,Regular,0.093746136,1.421412956,Snack Foods,211.9244,OUT035,2004,9,Small,Tier 2,Supermarket Type1,4869.6612
FDN38,Food,6.615,Regular,0.092158377,1.397338778,Canned,251.1408,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,3254.4304
FDW47,Food,15,Low Fat,0.046469277,0.704584052,Breads,123.8414,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,1340.2554
FDQ08,Food,12.79,Regular,0.033144603,0.502550507,Fruits and Vegetables,62.7536,OUT019,1985,28,Small,Tier 1,Grocery Store,61.2536
FDR44,Food,6.11,Regular,0.102901425,1.560228773,Fruits and Vegetables,128.4968,OUT035,2004,9,Small,Tier 2,Supermarket Type1,1435.4648
DRH23,Drinks,14.65,Low Fat,0.170663661,2.587664402,Hard Drinks,56.4614,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,1436.7964
FDX01,Food,10.1,Low Fat,0.024213342,0.367131484,Canned,116.715,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,1281.665
FDB05,Food,12.79,Low Fat,0.08279545,1.255374679,Frozen Foods,245.8776,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,4705.8744
FDR08,Food,18.7,Low Fat,0.037622954,0.570452891,Fruits and Vegetables,110.7886,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1334.2632
FDZ36,Food,6.035,Regular,0.066155883,1.003079521,Baking Goods,184.424,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,4660.6
FDI05,Food,8.35,Regular,0.126869718,1.923644735,Frozen Foods,74.4354,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1128.531
FDF24,Food,15.5,Regular,0.025409912,0.385274313,Baking Goods,83.2934,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1883.5482
FDZ48,Food,17.75,Low Fat,0.076389281,1.158242018,Baking Goods,111.1544,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,1118.544
DRL37,Drinks,12.79,Low Fat,0.053113721,0.805329525,Soft Drinks,44.377,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,1211.756
FDM10,Food,18.25,Low Fat,0.07595723,1.151691104,Snack Foods,214.1218,OUT035,2004,9,Small,Tier 2,Supermarket Type1,1282.3308
FDP11,Food,12.79,Low Fat,0.120986139,1.834435774,Breads,216.1166,OUT019,1985,28,Small,Tier 1,Grocery Store,435.4332
FDQ04,Food,6.4,Low Fat,0.084885375,1.28706288,Frozen Foods,39.2796,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,701.7532
FDR49,Food,8.71,Low Fat,0.139795569,2.119631182,Canned,47.2376,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,910.8144
FDD35,Food,12.79,Low Fat,0.02573918,0.390266794,Starchy Foods,120.744,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,3954.852
FDH41,Food,12.79,Low Fat,0.143591586,2.17718777,Frozen Foods,213.5534,OUT019,1985,28,Small,Tier 1,Grocery Store,430.1068
FDO34,Food,17.7,Low Fat,0.029999653,0.454865633,Snack Foods,169.7816,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,2013.3792
FDL45,Food,15.6,Low Fat,0.037901015,0.574668953,Snack Foods,124.1704,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,1877.556
NCC19,Non-Consumable,6.57,Non-Edible,0.096799953,1.467716039,Household,192.382,OUT013,1987,26,High,Tier 3,Supermarket Type1,4247.804
FDY10,Food,12.79,Low Fat,0.048830264,0.740382195,Snack Foods,113.1176,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,2404.8696
NCV29,Non-Consumable,11.8,Non-Edible,0.022879017,0.346899964,Health and Hygiene,176.0686,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,533.3058
FDC22,Food,6.89,Regular,0.136314863,2.066855453,Snack Foods,195.082,OUT013,1987,26,High,Tier 3,Supermarket Type1,2703.148
NCP42,Non-Consumable,8.51,Non-Edible,0.016143389,0.244771926,Household,194.2478,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,2324.9736
NCX17,Non-Consumable,21.25,Non-Edible,0.114246019,1.732239627,Health and Hygiene,231.23,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,3029.39
NCO26,Non-Consumable,7.235,Non-Edible,0.076975118,1.167124691,Household,116.6492,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,2664.5316
FDU45,Food,12.79,Regular,0.06216667,0.942593625,Snack Foods,112.3518,OUT019,1985,28,Small,Tier 1,Grocery Store,683.1108
FDR34,Food,17,Regular,0.01599013,0.242448158,Snack Foods,228.8352,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,4351.6688
FDV35,Food,19.5,Low Fat,0.128728258,1.951824593,Breads,155.3314,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,3412.8908
FDS55,Food,12.79,Low Fat,0.080771137,1.22468131,Fruits and Vegetables,146.4734,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,4157.2552
FDS28,Food,8.18,Regular,0.082568705,1.251936689,Frozen Foods,56.1588,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,458.0704
FDK15,Food,10.8,Low Fat,0.098395216,1.491903996,Meat,100.8042,OUT035,2004,9,Small,Tier 2,Supermarket Type1,1488.063
NCP17,Non-Consumable,19.35,Non-Edible,0.027714371,0.420215357,Health and Hygiene,65.6168,OUT046,1997,16,Small,Tier 1,Supermarket Type1,830.9184
NCE42,Non-Consumable,21.1,Non-Edible,0.06595278,1,Household,233.2958,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,2103.2622
FDA14,Food,16.1,Low Fat,0.06528457,0.989868357,Dairy,145.076,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1904.188
FDF57,Food,12.79,Regular,0.102999154,1.561710575,Fruits and Vegetables,169.9448,OUT019,1985,28,Small,Tier 1,Grocery Store,170.4448
NCV54,Non-Consumable,12.79,Non-Edible,0.057969482,0.878954337,Household,119.3124,OUT019,1985,28,Small,Tier 1,Grocery Store,474.0496
FDR10,Food,17.6,Low Fat,0.016804724,0.254799328,Snack Foods,163.4552,OUT010,1998,15,Medium,Tier 3,Grocery Store,649.8208
FDT58,Food,9,Low Fat,0.086440911,1.310648482,Snack Foods,167.0816,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,1342.2528
FDC34,Food,12.79,Regular,0.302478871,4.586294482,Snack Foods,155.4972,OUT019,1985,28,Small,Tier 1,Grocery Store,311.5944
FDU44,Food,12.15,Regular,0.058663727,0.889480732,Fruits and Vegetables,164.1552,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,3249.104
FDY08,Food,9.395,Regular,0.286344848,4.341664567,Fruits and Vegetables,139.1838,OUT010,1998,15,Medium,Tier 3,Grocery Store,280.9676
FDK20,Food,12.79,Regular,0.072762086,1.10324517,Fruits and Vegetables,120.9072,OUT019,1985,28,Small,Tier 1,Grocery Store,122.5072
FDV50,Food,14.3,Low Fat,0.123264522,1.868981444,Dairy,123.273,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,1108.557
FDO25,Food,6.3,Low Fat,0.127647181,1.935432911,Canned,207.927,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,2097.27
FDR14,Food,12.79,Low Fat,0.173206192,2.62621518,Dairy,53.3298,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,1078.596
FDP27,Food,8.155,Low Fat,0.119937231,1.81853185,Meat,189.153,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,2087.283
FDB27,Food,7.575,Low Fat,0.055379648,0.839686333,Dairy,198.1768,OUT035,2004,9,Small,Tier 2,Supermarket Type1,5321.0736
FDW26,Food,11.8,Regular,0.107223632,1.625763645,Dairy,223.5772,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,2668.5264
NCQ50,Non-Consumable,18.75,Non-Edible,0.06595278,1,Household,213.3218,OUT035,2004,9,Small,Tier 2,Supermarket Type1,3419.5488
NCL55,Non-Consumable,12.15,Non-Edible,0.06464846,0.980223427,Others,253.404,OUT035,2004,9,Small,Tier 2,Supermarket Type1,4807.076
FDG28,Food,9.285,Regular,0.049280292,0.747205683,Frozen Foods,245.6144,OUT046,1997,16,Small,Tier 1,Supermarket Type1,3920.2304
FDO31,Food,12.79,Regular,0.028842332,0.437317911,Fruits and Vegetables,81.496,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,1997.4
FDP27,Food,12.79,Low Fat,0.118872194,1.802383372,Meat,188.353,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,5313.084
FDR01,Food,5.405,Regular,0.053924587,0.81762417,Canned,198.2742,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,4379.6324
FDI08,Food,18.2,Regular,0.066297055,1.005220023,Fruits and Vegetables,247.1092,OUT046,1997,16,Small,Tier 1,Supermarket Type1,2241.0828
DRE03,Drinks,19.6,Low Fat,0.024264569,0.367908206,Dairy,46.5718,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1607.2412
FDV26,Food,20.25,Regular,0.076470697,1.159476477,Dairy,196.1794,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,2731.1116
DRM49,Drinks,6.11,Regular,0.151827552,2.302064477,Soft Drinks,43.0086,OUT013,1987,26,High,Tier 3,Supermarket Type1,490.6946
FDI15,Food,13.8,Low Fat,0.141325834,2.142833615,Dairy,265.0884,OUT035,2004,9,Small,Tier 2,Supermarket Type1,8479.6288
FDM15,Food,11.8,Regular,0.057538034,0.872412565,Meat,149.8366,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,1662.5026
FDH47,Food,13.5,Regular,0.128791854,1.952788859,Starchy Foods,95.4068,OUT035,2004,9,Small,Tier 2,Supermarket Type1,1944.136
NCT54,Non-Consumable,8.695,Non-Edible,0.119436131,1.810933989,Household,94.7094,OUT013,1987,26,High,Tier 3,Supermarket Type1,1047.3034
DRN11,Drinks,7.85,Low Fat,0.163310805,2.476177729,Hard Drinks,143.5444,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,3628.61
FDU10,Food,10.1,Regular,0.045878153,0.695621216,Snack Foods,38.5848,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,484.7024
FDU50,Food,5.75,Regular,0.075322658,1.142069493,Dairy,116.3176,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,2519.3872
FDS26,Food,20.35,Low Fat,0.149753132,2.270611368,Dairy,259.7594,OUT010,1998,15,Medium,Tier 3,Grocery Store,784.9782
FDC14,Food,14.5,Regular,0.06595278,1,Canned,41.0454,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,545.2902
FDB17,Food,12.79,Low Fat,0.036494521,0.55334318,Frozen Foods,179.0976,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,5976.2208
DRD25,Drinks,6.135,Low Fat,0.132183029,2.004207086,Soft Drinks,115.086,OUT010,1998,15,Medium,Tier 3,Grocery Store,452.744
DRI39,Drinks,12.79,Low Fat,0.096592065,1.464563965,Dairy,54.893,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,3112.615
NCQ06,Non-Consumable,13,Non-Edible,0.04188955,0.635144569,Household,255.9014,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,3315.0182
